Serving HTTP on :: port 8765 (http://[::]:8765/) ...
::1 - - [17/Sep/2026 23:08:29] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:29] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:29] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:29] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:29] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:29] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:29] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:29] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:36] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:36] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:36] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:36] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:36] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:36] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:36] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:36] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:36] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:36] code 404, message File not found
::1 - - [17/Sep/2026 23:08:36] "GET /favicon.ico HTTP/1.1" 404 -
::1 - - [17/Sep/2026 23:08:38] "GET /index.html HTTP/1.1" 304 -
::1 - - [17/Sep/2026 23:08:51] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:51] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:52] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:52] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:52] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:52] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:52] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:52] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:52] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:53] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:53] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:53] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:53] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:53] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:53] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:53] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:53] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:08:53] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:10] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:10] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:10] "GET /assets/bg-lowexposure.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:10] "GET /assets/bg-header.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:10] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:10] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:10] "GET /assets/hero-vitruvian.jpg HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:10] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:10] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:10] code 404, message File not found
::1 - - [17/Sep/2026 23:09:10] "GET /favicon.ico HTTP/1.1" 404 -
::1 - - [17/Sep/2026 23:09:11] "GET /index.html HTTP/1.1" 304 -
::1 - - [17/Sep/2026 23:09:19] "GET /index.html HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:19] "GET /assets/logo-weizmann.png HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:19] "GET /fonts/Brunson.ttf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:19] "GET /fonts/NulshockBd.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:19] "GET /fonts/Necosmic-PersonalUse.otf HTTP/1.1" 200 -
::1 - - [17/Sep/2026 23:09:19] "GET /fonts/BrigendsExpanded.otf HTTP/1.1" 200 -
